system,criteria_count,domain1_max,domain1_material_security,domain2_human_autonomy,domain3_system_resilience,domain4_ethical_integrity,domain5_implementation_viability,total_score,total_percent,failures,adequacy_tier,revision_note,notes
Status Quo Market Capitalism,26,6.0,2.0,2.0,2.0,0.5,4.0,10.5,40%,9,Structurally Inadequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.5 -> C1.2a=0.5, C1.2b=0.0 (Gini 0.85, H.7v2's own 0.0 anchor case). Legacy C1.5=0.5 carried forward unchanged (60% access breadth). D1 2.0/5 (42% overall) -> 2.0/6 (40% overall); failures 8->9.","Baseline system. Domain 1 raw sum unchanged by the split (0.5 -> 0.5+0.0); the drop in overall percentage is purely the denominator growing from 25 to 26. Report Part I (System 1) still shows the legacy, pre-retrofit C1.2/C1.5 text and 10.5/25 total as of this session -- see NEEC_Step1c_Retrofit_C1.2ab_C1.5.md for full rationale and the 'Step 5 (expanded)' regeneration this unblocks."
Nordic Social Democracy,26,6.0,5.0,3.5,3.5,3.5,4.0,19.5,75%,2,Potentially Adequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.5 -> C1.2a=1.0 (inferential -- pension/homeownership mechanisms read as robust for engaged participants; flagged as the retrofit's most inferential 1.0), C1.2b=0.5 (Gini 0.65-0.75, meaningful reduction, not under 0.35). Legacy C1.5=1.0 carried forward unchanged (H.7v2's own worked anchor). D1 4.0/5 (74% overall) -> 5.0/6 (75% overall); failures 2->2, no tier change.",Now EXACTLY tied with Integral at 19.5/26 (75%) under the retrofit -- both were already tied at 18.5/25 (74%) pre-retrofit; the tie persists at the percentage level even though each system's Domain 1 moved independently. Tiers still differ (2 vs 3 failures) -- see the retrofit document's Part 3 for the full discussion. Report Part I (System 2) still shows legacy scores as of this session.
Centrally Planned Socialism,26,6.0,3.0,0.5,2.5,3.0,1.0,10.0,38%,12,Structurally Inadequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.0 -> C1.2a=0.0 (explicit absence, no named mechanism), C1.2b=0.5 -- FLAGGED CONTESTABLE, revised down from an initial 1.0 read after cross-checking this system's own C4.4 rationale, which documents nomenklatura 'concentrated economic power' outside formal markets that a narrow wealth-Gini reading would miss. Legacy C1.5=0.5 -> 0.0 (follows C1.2a=0.0 pattern). D1 3.0/5 (40% overall) -> 3.0/6 (38% overall); failures 11->12, no tier change.",See NEEC_Step1c_Retrofit_C1.2ab_C1.5.md Part 2.2 for the full nomenklatura-tension discussion behind the C1.2b=0.5 call. Report Part I (System 3) still shows legacy scores as of this session.
Market Socialism,26,6.0,4.0,3.5,3.0,3.0,3.0,16.5,63%,2,Potentially Adequate,"RETROFITTED Session 8 (Step 1c): matches Appendix H.8a's own worked-example preview exactly -- legacy C1.2=1.0 -> C1.2a=1.0 (Mondragon capital accounts), C1.2b=0.5 ('cooperative systems: Gini 0.40-0.50'). Legacy C1.5=0.5 carried forward unchanged (membership-gated access, pure access-breadth reasoning already). D1 3.5/5 (64% overall) -> 4.0/6 (63% overall); failures 2->2, no tier change.","The FIRST system this retrofit's own anchors were checked against, via Appendix H.8a's preview pass (written before this full 13-system retrofit) -- confirmed to match exactly. Report Part I (System 4) still shows legacy scores as of this session."
Libertarian Minarchism,26,6.0,0.0,3.0,0.5,1.5,3.0,8.0,31%,15,Structurally Inadequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.0 -> C1.2a=0.0, C1.2b=0.0 ('concentration accelerates' is the literal opposite of prevention). Legacy C1.5=0.0 carried forward unchanged. D1 0.0/5 (all zero) -> 0.0/6 (all zero); failures 14->15 (Domain 1 goes from 5-of-5 zero to 6-of-6 zero), no tier change -- already the corpus's most-failed system either way.",No raw-sum change in Domain 1 (already fully zero); overall percentage drops purely from the larger denominator (32%->31%). Report Part I (System 5) still shows legacy scores as of this session.
MMT + Job Guarantee,26,6.0,3.5,2.5,3.0,3.5,3.0,15.5,60%,3,Partially Adequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.5 -> C1.2a=0.5 (same traditional-market mechanism as Status Quo), C1.2b=0.0 -- FLAGGED CONTESTABLE AND CONSEQUENTIAL, this is the retrofit's ONLY tier-crossing case. Legacy C1.5=1.0 -> 0.5 (the legacy score conflated universal income/employment access with universal wealth-MECHANISM access; narrowed and scored more conservatively). D1 4.0/5 (64% overall) -> 3.5/6 (60% overall); failures 2->3.","TIER CHANGE: Potentially Adequate -> Partially Adequate. See NEEC_Step1c_Retrofit_C1.2ab_C1.5.md Part 2.1 for the full disclosure, including the counter-consideration (this system's own C4.4='reduces capital power' could support a 0.5 read instead, which would keep this system out of the tier change -- flagged explicitly as the single most consequential close call in the entire retrofit). Report Part I (System 6) still shows the legacy 16.0/25, Potentially-Adequate figures as of this session."
Universal Basic Income,26,6.0,2.5,3.0,3.0,3.0,3.0,14.5,56%,7,Structurally Inadequate,"RETROFITTED Session 8 (Step 1c): no raw-sum change -- legacy C1.2=0.0 and C1.5=0.0 were ALREADY the canonical anchor case this project cites repeatedly (Georgism, Mutual Credit/LETS both invoke this precedent directly); C1.2a=0.0, C1.2b=0.0 (this system's own C4.4 rationale: 'Provides income but not economic power... remain subordinate to capital owners'), C1.5=0.0. D1 2.5/5 (58% overall) -> 2.5/6 (56% overall); failures 6->7, no tier change.","Now EXACTLY tied with Mutual Credit/LETS at 14.5/26 (56%) -- on opposite sides of the Structurally-Inadequate/Partially-Adequate boundary (7 failures vs. 3), arguably the sharpest single illustration in the whole corpus of percentage and failure-count measuring different things. Report Part I (System 7) still shows legacy scores as of this session."
Degrowth Economics,26,6.0,4.5,3.5,4.0,5.0,2.0,19.0,73%,2,Potentially Adequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.5 -> C1.2a=0.5 (Appendix H.7v2's own explicit worked anchor, written using this exact system's CLT/cooperative language), C1.2b=1.0 (this system's own C4.4 names an explicit 'wealth caps' mechanism -- clean structural-cap anchor). Legacy C1.5=0.5 carried forward unchanged. D1 3.5/5 (72% overall) -> 4.5/6 (73% overall); failures 2->2, no tier change.","One of the retrofit's cleanest upward moves -- C1.2b's full 1.0 reflects a mechanism (wealth caps) already published elsewhere in this system's own write-up but never credited under the old, conflated C1.2. Report Part I (System 8) still shows legacy scores as of this session."
Stakeholder Capitalism,26,6.0,2.0,2.0,2.5,1.0,2.5,10.0,38%,9,Structurally Inadequate,"RETROFITTED Session 8 (Step 1c): no raw-sum change -- legacy C1.2=0.5 -> C1.2a=0.5 (stock options/profit-sharing, explicitly 'incremental'), C1.2b=0.0 (this system's own C4.4: 'One-share-one-vote maintains wealth-based power concentration'). Legacy C1.5=0.5 carried forward unchanged. D1 2.0/5 (40% overall) -> 2.0/6 (38% overall); failures 8->9, no tier change.",Report Part I (System 9) still shows legacy scores as of this session.
Fully Automated Luxury Communism,26,6.0,3.0,3.0,3.0,3.5,0.5,13.0,50%,10,Structurally Inadequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.5 -> C1.2a=0.0 (no named mechanism of any kind, unlike Degrowth/ParEcon's identified collective institutions), C1.2b=0.0 -- REVISED DURING DRAFTING from an initial 0.5 (theoretical 'abundance reduces concentration-driving scarcity' read) after cross-checking this system's own C4.4, which is explicit about UNRESOLVED risk of technocratic-elite concentration, not prevention. Legacy C1.5=0.5 -> 0.0 (follows C1.2a=0.0). D1 4.0/5 (56% overall) -> 3.0/6 (50% overall); failures 7->10, no tier change (already Structurally Inadequate before and after).","The largest single percentage drop in this retrofit (56%->50%), driven by all three Domain 1 wealth criteria landing at 0.0 once cross-checked consistently against this system's own already-published C4.4 finding. Report Part I (System 10) still shows legacy scores as of this session."
Participatory Economics,26,6.0,5.0,4.0,4.5,4.0,3.0,20.5,79%,1,Potentially Adequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.5 -> C1.2a=0.5 ('community investment councils' is a named collective mechanism, matching H.7v2's own Degrowth-anchor logic for the 0.5 band -- an EARLIER PASS IN THIS RETROFIT initially scored this 0.0 by analogy to Centrally Planned Socialism's flat absence, then was revised to 0.5 for consistency with the anchor's own stated distinguishing logic; see the retrofit document for the full reconsideration), C1.2b=1.0 (this system's own C4.4: 'No concentrated wealth, no capital owners, no managerial hierarchy'). Legacy C1.5=0.5 carried forward. D1 4.0/5 (78% overall) -> 5.0/6 (79% overall); failures 1->1, no tier change.","This system's C1.2a call was the retrofit's most closely re-examined single score, since an initial 0.0 read would have pushed this system's failure count to 3 and crossed it into Partially Adequate -- the revision to 0.5 (which this row uses) keeps it at 1 failure. See NEEC_Step1c_Retrofit_C1.2ab_C1.5.md, System 11 entry, for the full reasoning. Report Part I (System 11) still shows legacy scores as of this session."
CCO-PTF-CIP-SZH,26,6.0,5.5,5.0,5.0,4.5,4.5,24.5,94%,0,Potentially Adequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=1.0 -> C1.2a=1.0 (this system's own text states the NEEC C1.2a threshold figure verbatim: '$70,000+ over 20 years' -- the cleanest 1.0 in the corpus), C1.2b=1.0 (this system's own C4.4 states the C1.2b threshold directly: 'Wealth Gini projected <0.35'). Legacy C1.5=0.5 carried forward unchanged. D1 4.5/5 (94% overall) -> 5.5/6 (94% overall); failures 0->0, no tier change.","Author Duke Johnson's own framework -- self-referential-bias concern addressed directly in Paper Section 10.5 and this project's CONTRIBUTING document. Remains the corpus's strongest system, essentially unaffected in percentage terms by the retrofit (94% either way) since both new criteria clear their thresholds as cleanly as the old single criterion did. Report Part I (System 12) still shows legacy scores as of this session."
Integral,26,6.0,3.0,4.5,5.0,4.5,2.5,19.5,75%,3,Partially Adequate,"RETROFITTED Session 8 (Step 1c): legacy C1.2=0.0 -> C1.2a=0.0, C1.2b=1.0 (both already appear as Appendix H.7v2's own worked anchors for this exact system -- 'close to the strongest possible C1.2b answer in the corpus'). Legacy C1.5=0.0 -> 0.0 (follows C1.2a=0.0). D1 2.0/5 (74% overall) -> 3.0/6 (75% overall); failures 3->3 (the 0.0/1.0 split doesn't add a new zero -- Domain 1 keeps exactly the two zeros, C1.2a and C1.5, it had before), no tier change.","This is the retrofit's cleanest validation of the theoretical motivation Paper Section 12.1 gave for the whole C1.2a/C1.2b split in the first place: Domain 1 moves from a weak 40% to a much stronger 50% once C1.2b's genuine strength is no longer averaged against C1.2a's genuine weakness. Now EXACTLY tied with Nordic Social Democracy at 19.5/26 (75%) -- both were already tied pre-retrofit too. Not yet in the Report (still Paper Appendix E only, as before this session)."
Georgism / Land Value Tax (LVT + Citizen's Dividend),26,6.0,2.0,3.0,3.0,2.5,3.0,13.5,52%,2,Potentially Adequate,"N/A (scored Session 6, natively on the v2, 26-criterion structure -- not part of the 13-system legacy corpus and therefore not touched by Step 1c's retrofit).","Unchanged from the Session 7 CSV row. NOT directly comparable to Systems 1-12/Integral above without accounting for the fact that those 13 rows are NOW ALSO on the 26-criterion structure as of this session's Step 1c retrofit -- a real, meaningful cross-system comparison is possible against this row for the first time (see neec_weighting_robustness_analysis_v2.py's full ranking output). Both failures (C1.2a, C1.5) trace to the same finding a classical Citizen's Dividend is an income-distribution mechanism, not a wealth-building one, mirroring UBI's own precedent. Lowest percentage score (52%) of any Potentially Adequate system in the corpus as of this session -- see the retrofit document's Part 3 for the sharpened, now-four-member version of this finding (Georgism 52%/Potentially Adequate vs. Mutual Credit/LETS 56%/Partially Adequate vs. MMT+JG 60%/Partially Adequate vs. Integral 75%/Partially Adequate). Report System 13; excluded from Report Part II due to the (now resolved for Systems 1-12, but not re-applied to Part II's own prose) scale mismatch."
Mutual Credit / LETS,26,6.0,2.0,3.0,3.0,2.5,4.0,14.5,56%,3,Partially Adequate,"N/A (scored Session 7, natively on the v2, 26-criterion structure -- not part of the 13-system legacy corpus and therefore not touched by Step 1c's retrofit).","NEW ROW this session. Both C1.2a and C1.5 failures trace to the same design choice that produces this system's own strongest score (C1.2b=1.0, prevention of exploitative accumulation) -- no value-storage function of any kind exists, by design, which is simultaneously this system's greatest anti-concentration strength and its clearest material-security weakness. C1.3 (Housing Security) fails outright, this system's own distinct addition to the corpus pattern (no housing channel identified at all, unlike Georgism's partial evidence). Lands in Partially Adequate (3 failures) with a HIGHER percentage (56%) than Georgism's Potentially Adequate (52%) -- a direct, one-on-one, same-structure tier/percentage crossover. Report System 14; excluded from Report Part II for the same scale-mismatch reason as Georgism."
